chr1	134212701	134230065	NM_001195025	0	+	134212806	134228958	0	8	348,121,24,152,66,120,133,2168,	0,8828,10081,11572,12006,13833,14434,15196,
chr1	134212701	134230065	NM_028778	0	+	134212806	134228958	0	7	348,121,152,66,120,133,2168,	0,8828,11572,12006,13833,14434,15196,
chr1	33510655	33726603	NM_008922	0	-	33510930	33725856	0	14	494,69,83,127,186,73,68,138,96,121,80,104,163,135,	0,10242,26647,30871,58205,60334,79485,174584,176527,208435,209966,213234,215047,215813,
chr1	8352741	9289811	NM_027671	0	-	8353555	8794024	0	21	973,111,93,153,72,117,39,130,131,83,103,42,44,58,57,135,54,54,64,82,1598,	0,51542,82366,85319,100733,102776,192064,220544,232751,244409,262118,315146,315276,316412,319312,420102,441256,519500,636525,840518,935472,
chr1	125228714	125942136	NM_199021	0	-	125230825	125942020	0	26	2246,74,73,59,100,55,195,70,99,48,122,48,92,108,39,124,98,155,121,82,53,75,95,96,115,188,	0,4686,8967,9182,9479,20496,21274,35460,35637,44489,45989,52147,52784,66383,70695,79573,91475,100793,113063,153756,153935,318150,354083,522028,572924,713234,
chr1	75482399	75503027	NM_178884	0	-	75482526	75502799	0	20	135,270,105,162,157,113,267,273,270,288,276,273,273,273,273,297,303,252,270,1240,	0,815,1398,1804,2081,2764,3658,4971,5363,6681,7045,7960,11183,12250,14077,16134,17088,17542,17872,19388,
chr1	11404185	11591902	NM_001160370	0	+	11404649	11586415	0	7	533,148,132,129,29,173,5671,	0,97813,104473,131049,148858,174269,182046,
chr1	11404185	11965983	NM_001160369	0	+	11404649	11965047	0	14	533,148,132,129,29,173,167,136,86,77,48,94,57,980,	0,97813,104473,131049,148858,174269,182046,333860,384376,415710,519439,536858,557941,560818,
chr1	13615979	13650590	NM_145381	0	-	13616941	13650531	0	7	1006,82,149,179,127,164,181,	0,1457,4166,12332,21486,24822,34430,
chr1	11404185	11591902	NM_001160371	0	+	11404649	11587065	0	8	533,148,132,129,29,173,167,4857,	0,97813,104473,131049,148858,174269,182046,182860,
chr1	11404185	11965983	NM_177173	0	+	11404649	11965047	0	14	533,148,132,129,29,173,167,127,86,77,48,94,57,980,	0,97813,104473,131049,148858,174269,182046,333860,384376,415710,519439,536858,557941,560818,
chr1	20941706	20980922	NM_027974	0	+	20941814	20980769	0	11	171,222,288,150,193,221,141,214,148,235,225,	0,3709,8504,9527,15698,21149,23273,27017,27784,37742,38991,
chr1	32229650	32714583	NM_133235	0	+	32229762	32714386	0	9	203,128,117,147,128,199,83,59,295,	0,71094,160660,242065,294954,299761,446365,471287,484638,
chr1	36619540	36740028	NM_001126046	0	-	36619832	36717792	0	15	325,153,78,126,88,98,177,85,115,85,106,153,62,315,316,	0,1634,2135,15823,23220,37427,37712,38171,45721,69724,72471,81514,96668,98039,120172,
chr1	37668520	37776656	NM_028096	0	-	37669101	37701475	0	10	721,145,188,2308,210,162,136,169,80,242,	0,1661,2805,12085,16541,19645,20140,26185,32885,107894,
chr1	36656818	36740028	NM_201365	0	-	36656921	36717792	0	10	247,177,85,115,85,106,153,62,315,316,	0,434,893,8443,32446,35193,44236,59390,60761,82894,
chr1	43990851	44059816	NM_009418	0	+	43990933	44059038	0	30	247,129,96,105,125,164,155,77,128,100,149,116,169,158,77,107,155,117,101,97,138,245,79,39,152,97,131,208,120,868,	0,6103,15305,17100,19250,20570,22464,23429,26077,26861,34875,36394,37557,38523,39437,41409,43200,44406,44728,46301,47723,49065,49507,51409,56504,57256,58257,65621,67312,68097,
chr1	55462789	55811129	NM_001114663	0	+	55463231	55808307	0	6	685,2475,204,76,110,3005,	0,289799,295984,307475,309548,345335,
chr1	53453845	53763628	NM_001252070	0	-	53453950	53763536	0	66	312,104,178,153,231,138,186,162,201,162,177,93,195,127,336,134,191,155,164,186,181,347,331,230,873,220,127,169,156,198,225,132,177,183,150,249,99,213,128,103,169,110,213,141,199,194,187,686,147,225,79,128,273,180,184,120,126,76,181,88,59,89,109,63,63,107,	0,8674,14504,16730,22543,26227,28165,30824,35889,36949,40429,47439,50316,51927,59534,60669,71618,75799,82650,86295,97576,98684,99814,104476,106502,121619,124096,125209,126787,127936,131671,134106,137419,138373,140495,143877,147426,150141,162038,162277,164900,168661,170033,180187,185492,187456,208796,220723,223641,226341,230032,233193,234464,238262,238992,243334,246439,250245,265326,266802,287839,287964,289497,301630,305016,309676,
chr1	61685397	62688858	NM_001081050	0	+	61685816	62684497	0	23	539,102,172,110,89,87,126,359,140,129,186,171,133,100,116,45,207,238,111,297,136,80,4719,	0,129124,371483,437561,506023,515109,520611,522286,525256,527530,559753,572710,577599,591355,600013,637059,705110,706046,801187,840675,893821,948913,998742,
chr1	68086539	69154633	NM_010154	0	-	68086614	69154330	0	27	521,298,171,98,147,76,156,186,99,123,133,75,155,94,133,200,91,74,127,114,142,119,66,135,187,152,385,	0,2475,31552,33132,35452,38570,40674,158876,210614,214563,219215,250277,258321,265879,269629,288102,290226,291254,299391,303874,306580,309335,330489,356215,520530,700416,1067709,
chr1	69873561	70771706	NM_029160	0	+	69873577	70771516	0	17	134,47,96,119,138,108,118,67,45,110,128,144,186,127,66,127,366,	0,15981,17291,26335,31485,43276,46146,60504,68239,69484,169793,437918,472595,554291,634078,666793,897779,
chr1	80497647	80755128	NM_175291	0	-	80498281	80755023	0	56	754,139,101,191,211,147,114,123,107,99,58,216,111,183,138,113,125,102,48,67,115,122,112,117,176,45,97,84,147,72,114,70,119,93,87,122,124,93,66,188,80,123,83,123,222,156,84,86,184,135,123,73,83,90,120,228,	0,4252,4548,9204,11354,14416,22643,22897,25151,27160,27576,29005,30101,31249,32713,34780,35772,37710,38737,39012,39171,39384,40155,42027,42268,48060,48633,50382,51605,58094,59828,63429,65655,66219,66923,67365,67674,71384,72407,73007,74786,77513,83923,85256,85576,91444,91700,92086,94468,104718,105092,105480,114219,133127,147140,257253,
chr1	82836057	82892850	NM_010472	0	+	82836297	82891633	0	13	407,94,116,163,154,120,210,181,77,93,159,86,1277,	0,18873,31202,35805,36688,40525,42745,43698,46628,46892,53941,54999,55516,
chr1	88051389	88149066	NM_027456	0	+	88053529	88148971	0	21	29,88,129,171,156,93,25,158,99,35,112,93,91,124,140,77,75,91,56,105,215,	0,2103,5180,7850,9881,15095,17309,18742,21999,31290,34062,36195,39462,41504,43427,45023,47675,53138,58235,89751,97462,
chr1	88051354	88174859	NM_030184	0	+	88053529	88172257	0	25	64,88,129,171,156,93,25,158,99,35,112,93,91,124,140,77,75,91,56,105,116,137,124,173,2625,	0,2138,5215,7885,9916,15130,17344,18777,22034,31325,34097,36230,39497,41539,43462,45058,47710,53173,58270,89786,97497,102446,107262,119603,120880,
chr1	89110488	89137063	NM_023314	0	+	89110574	89134460	0	7	106,115,135,105,153,137,2643,	0,5667,7006,10439,11936,12183,23932,
chr1	93312558	93355905	NM_011066	0	-	93314447	93347402	0	23	2039,151,193,187,797,240,165,107,163,85,126,109,154,107,79,143,52,202,122,155,66,239,156,	0,3393,4424,5386,7708,11757,13402,14792,14996,16826,17414,18640,19035,19668,22352,23905,24850,28603,29519,32726,33831,34623,43191,
chr1	99602622	99666669	NM_173760	0	-	99604294	99658115	0	28	1785,126,141,73,165,117,108,115,128,224,142,183,122,126,86,110,76,87,102,122,162,102,155,86,91,196,397,238,	0,5677,6958,13788,17624,21143,21349,22872,23865,27840,28921,34416,34778,35024,38011,39117,39349,40372,41501,43496,44521,46658,49009,49840,50798,53123,55379,63809,
chr1	97484258	97564171	NM_009183	0	-	97488258	97563838	0	5	4283,294,258,132,446,	0,39825,65831,73182,79467,
chr1	121554669	121733648	NM_019933	0	-	121556407	121699037	0	27	1825,136,149,129,147,62,91,167,157,57,84,160,159,126,69,173,64,89,88,121,53,45,79,43,108,155,170,	0,9421,17456,20662,21956,24391,24612,26374,29517,33508,33653,34657,48062,49683,57854,63771,67940,83262,85259,106938,107336,107785,114956,115136,125389,144230,178809,
